case_count,clinical_finding,date,state,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,hash,datechecked,death,hospitalized,total,totaltestresults,posneg,fips,hospitalizedincrease,negativeincrease,totaltestresultsincrease
91,positiveincrease,2020-05-19,OK,5489,133658,,167,897,77,,,,4135,A+,2020-05-19 00:00:00,509000f13b9a0c756930d6be3edd3acf6205bfd5,2020-05-19 20:00:00,294,897,139147,139147,139147,40,12,15496,15587
39,positiveincrease,2020-05-19,OR,3726,95994,,137,714,43,,13,,1406,A+,2020-05-19 11:00:00,222f371991a6b98dd31453521b89140625de29e8,2020-05-19 20:00:00,140,714,99720,99720,99720,41,6,2366,2405
610,positiveincrease,2020-05-19,PA,63666,286034,,1861,,,,380,,,B,2020-05-18 00:00:00,d6cbdd3023cefde35bcdc7c96b95601cf362d3ee,2020-05-19 20:00:00,4624,,349700,349700,349700,42,0,8481,9091
95,positiveincrease,2020-05-19,PR,2805,,,,,20,,8,,,C,2020-05-19 05:52:00,798325aa6fb04f713d3ed32cb15ed67b6fa91571,2020-05-19 20:00:00,124,,2805,2805,2805,72,0,0,95
156,positiveincrease,2020-05-19,RI,12951,104295,,247,1464,59,,44,,1023,A+,2020-05-19 12:00:00,0b46513d6f108a6cb38e6e90376b9f572d006918,2020-05-19 20:00:00,532,1464,117246,117246,117246,44,26,1706,1862
114,positiveincrease,2020-05-19,SC,9056,126007,,,1444,,,,,5451,A,2020-05-19 16:00:00,1012b6dcb4873da74e5d4b8f4b22a9c34b0ad1cd,2020-05-19 20:00:00,399,1444,135063,135063,135063,45,23,3390,3504
58,positiveincrease,2020-05-19,SD,4085,25624,,75,327,,,,,2914,B,2020-05-18 18:00:00,065ca3add179e759db596b2e1101d59373f7ab47,2020-05-19 20:00:00,46,327,29709,29709,29709,46,11,606,664
367,positiveincrease,2020-05-19,TN,18378,327745,,,1498,,,,,10969,A,2020-05-19 15:00:00,6c82d9ab5dc36e78f8b7ffd1203784f1e4bae7ac,2020-05-19 20:00:00,305,1498,346123,346123,346123,47,9,8328,8695
1219,positiveincrease,2020-05-19,TX,49912,695025,,1732,,,,,,29359,A,2020-05-19 16:50:00,015142493861d1f1e4bb3ce83cb5d8da32d8173b,2020-05-19 20:00:00,1369,,744937,744937,744937,48,0,20705,21924
0,positiveincrease,2020-05-19,UT,7384,166638,,179,595,,197,,84,4183,B,2020-05-18 10:29:00,bc6bf9ba3246a5b5f06d2ecca5f260e956fa5fea,2020-05-19 20:00:00,80,595,174022,174022,174022,49,0,0,0
1005,positiveincrease,2020-05-19,VA,32145,170644,473,1497,5768,377,,199,,4271,A+,2020-05-18 17:00:00,227ab934ee80ad38289b9ea0e90f767fcf7af65c,2020-05-19 20:00:00,1041,5768,203262,202789,202789,51,159,5558,6563
0,positiveincrease,2020-05-19,VI,69,1298,17,,,,,,,61,C,2020-05-19 06:34:00,bdf2f85c14cb02420f24c84469a8e818ffe052c4,2020-05-19 20:00:00,6,,1384,1367,1367,78,0,20,20
4,positiveincrease,2020-05-19,VT,944,23647,,24,,,,,,820,B,2020-05-19 00:00:00,80389ae3a194e5c47b7d1d1e6a182f967a7b38c0,2020-05-19 20:00:00,54,,24591,24591,24591,50,0,762,766
178,positiveincrease,2020-05-19,WA,18611,270524,,168,,52,,,,,A,2020-05-18 02:59:00,410bf949a4abf34d3e5461e74f70beb28f7de4e3,2020-05-19 20:00:00,1002,,289135,289135,289135,53,0,3714,3892
198,positiveincrease,2020-05-19,WI,12885,148237,211,609,2110,129,503,,,7371,A+,2020-05-19 00:00:00,658370d99840ae09dd846a5040fd91fa70e508cb,2020-05-19 20:00:00,467,2110,161333,161122,161122,55,42,3735,3933
18,positiveincrease,2020-05-19,WV,1509,76792,,54,,18,,9,,922,B,2020-05-19 10:00:00,9b7358d385ceac53b68bee8b0fc3d0e8791684f8,2020-05-19 20:00:00,68,,78301,78301,78301,54,0,2248,2266
12,positiveincrease,2020-05-19,WY,766,17084,,8,73,,,,,504,B,2020-05-18 00:00:00,158314945e235e3e6033a906c941e5f3f92abbee,2020-05-19 20:00:00,10,73,17850,17850,17850,56,0,753,765
3,positiveincrease,2020-05-18,AK,399,35212,,9,,,,,,345,B,2020-05-18 00:00:00,b3ccfa9231cf1d4225bef777e18aef9279196f72,2020-05-18 20:00:00,10,,35611,35611,35611,2,0,957,960
315,positiveincrease,2020-05-18,AL,12086,145037,,,1416,,512,,302,,B,2020-05-18 00:00:00,5b2cfe9999f12edaaadf251db01027248479f4b9,2020-05-18 20:00:00,489,1416,157123,157123,157123,1,24,458,773
54,positiveincrease,2020-05-18,AR,4813,80426,,77,530,,,12,101,3645,A,2020-05-18 00:00:00,a1fc38a56f67ed2a8ff4225276f3fd91a77308f4,2020-05-18 20:00:00,100,530,85239,85239,85239,5,10,0,54
