"provided","standard"
"Tate","Tate"
"Salem","Salem"
"Cortland","Cortland"
"St. Lawrence","St. Lawrence"
"Davie","Davie"
"Granville","Granville"
"Nash","Nash"
"Robeson","Robeson"
"Scotland","Scotland"
"Gallia","Gallia"
"Portage","Portage"
"Muskogee","Muskogee"
"Dauphin","Dauphin"
"Schuylkill","Schuylkill"
"Colleton","Colleton"
"Gibson","Gibson"
"Loudon","Loudon"
"McMinn","McMinn"
"Amherst","Amherst"
"Bedford","Bedford"
"Culpeper","Culpeper"
"Fluvanna","Fluvanna"
"Louisa","Louisa"
"Whitman","Whitman"
"Tallapoosa","Tallapoosa"
"Juneau City and Borough","Juneau City and Borough"
"Matanuska-Susitna Borough","Matanuska-Susitna Borough"
"La Plata","La Plata"
"Teller","Teller"
"Burke","Burke"
"Catoosa","Catoosa"
"Liberty","Liberty"
"Dubois","Dubois"
"Wapello","Wapello"
"Natchitoches","Natchitoches"
"St. Martin","St. Martin"
"Garrett","Garrett"
"Queen Anne's","Queen Anne's"
"Kalamazoo","Kalamazoo"
"Muskegon","Muskegon"
"Newaygo","Newaygo"
"Big Stone","Big Stone"
"Lac qui Parle","Lac qui Parle"
"Sherburne","Sherburne"
"Tallahatchie","Tallahatchie"
"Callaway","Callaway"
"Moniteau","Moniteau"
"St. Francois","St. Francois"
"Taney","Taney"
"Chaves","Chaves"
"Cayuga","Cayuga"
"Oswego","Oswego"
"Alamance","Alamance"
"Vance","Vance"
"Walsh","Walsh"
"Sandusky","Sandusky"
"Hood River","Hood River"
"Cambria","Cambria"
"Georgetown","Georgetown"
"Codington","Codington"
"Hughes","Hughes"
"Lyman","Lyman"
"Pennington","Pennington"
"Iron","Iron"
"Danville city","Danville city"
"Rockbridge","Rockbridge"
"Autauga","Autauga"
"Conway","Conway"
"Crawford","Crawford"
"Cross","Cross"
"Hot Spring","Hot Spring"
"Stone","Stone"
"White","White"
"Woodruff","Woodruff"
"Calaveras","Calaveras"
"Merced","Merced"
"Mono","Mono"
"Delta","Delta"
"Huerfano","Huerfano"
"Ben Hill","Ben Hill"
"Bryan","Bryan"
"Colquitt","Colquitt"
"Crisp","Crisp"
"Irwin","Irwin"
"Macon","Macon"
"Meriwether","Meriwether"
"Stephens","Stephens"
"Bannock","Bannock"
"Cassia","Cassia"
"Grundy","Grundy"
"Dearborn","Dearborn"
"Decatur","Decatur"
"Ohio","Ohio"
"Porter","Porter"
"Starke","Starke"
"Warrick","Warrick"
"Buchanan","Buchanan"
"Cedar","Cedar"
"Doniphan","Doniphan"
"Pottawatomie","Pottawatomie"
"Woodson","Woodson"
"McCracken","McCracken"
"Menifee","Menifee"
"Muhlenberg","Muhlenberg"
"Vernon","Vernon"
"Waldo","Waldo"
"Hillsdale","Hillsdale"
"Isabella","Isabella"
"Kalkaska","Kalkaska"
"Lapeer","Lapeer"
"Manistee","Manistee"
"Choctaw","Choctaw"
"Noxubee","Noxubee"
"Cape Girardeau","Cape Girardeau"
"Pemiscot","Pemiscot"
"Saunders","Saunders"
"Cibola","Cibola"
"Curry","Curry"
"Chemung","Chemung"
"Transylvania","Transylvania"
"Highland","Highland"
"Mayes","Mayes"
"Wagoner","Wagoner"
"Clatsop","Clatsop"
"Armstrong","Armstrong"
"Clearfield","Clearfield"
"Juniata","Juniata"
"Brookings","Brookings"
"Overton","Overton"
"Comal","Comal"
"Falls","Falls"
"Grayson","Grayson"
"Hidalgo","Hidalgo"
"Nueces","Nueces"
"Parker","Parker"
"Victoria","Victoria"
"Caledonia","Caledonia"
"Chesapeake city","Chesapeake city"
"Halifax","Halifax"
"Preston","Preston"
"Sweetwater","Sweetwater"
"Chilton","Chilton"
"Colbert","Colbert"
"Etowah","Etowah"
"Russell","Russell"
"Wilcox","Wilcox"
"Drew","Drew"
"Inyo","Inyo"
"Sutter","Sutter"
"Otero","Otero"
"Gadsden","Gadsden"
"Long","Long"
"Taylor","Taylor"
"Thomas","Thomas"
"Ware","Ware"
"Wilkes","Wilkes"
"Idaho","Idaho"
"Nez Perce","Nez Perce"
"Payette","Payette"
"Rush","Rush"
"Neosho","Neosho"
"Shawnee","Shawnee"
"Laurel","Laurel"
"McCreary","McCreary"
"Jefferson Davis","Jefferson Davis"
"Morehouse","Morehouse"
"Winn","Winn"
"Dukes","Dukes"
"Iosco","Iosco"
"Lenawee","Lenawee"
"Marquette","Marquette"
"Sanilac","Sanilac"
"Goodhue","Goodhue"
"Winona","Winona"
"Prentiss","Prentiss"
"Cooper","Cooper"
"McDonald","McDonald"
"Platte","Platte"
"Ralls","Ralls"
"Hill","Hill"
"Eddy","Eddy"
"Rio Arriba","Rio Arriba"
"Chautauqua","Chautauqua"
"Bertie","Bertie"
"Caldwell","Caldwell"
"Duplin","Duplin"
"Hertford","Hertford"
"Lenoir","Lenoir"
"McDowell","McDowell"
"Foster","Foster"
"Pickaway","Pickaway"
"Seneca","Seneca"
"Carter","Carter"
"Creek","Creek"
"Osage","Osage"
"Lycoming","Lycoming"
"Newport","Newport"
"Providence","Providence"
"Williamsburg","Williamsburg"
"Meade","Meade"
"Hawkins","Hawkins"
"Atascosa","Atascosa"
"Austin","Austin"
"Blanco","Blanco"
"Burnet","Burnet"
"Coryell","Coryell"
"Eastland","Eastland"
"Erath","Erath"
"Gaines","Gaines"
"Grimes","Grimes"
"Guadalupe","Guadalupe"
"Hale","Hale"
"Hopkins","Hopkins"
"Hunt","Hunt"
"Kaufman","Kaufman"
"Llano","Llano"
"Maverick","Maverick"
"Milam","Milam"
"San Patricio","San Patricio"
"Terry","Terry"
"Tom Green","Tom Green"
"Wharton","Wharton"
"Lamoille","Lamoille"
"Fredericksburg city","Fredericksburg city"
"Manassas city","Manassas city"
"Mathews","Mathews"
"Nottoway","Nottoway"
"Roanoke","Roanoke"
"Shenandoah","Shenandoah"
"Ferry","Ferry"
"Okanogan","Okanogan"
"Raleigh","Raleigh"
"Iowa","Iowa"
"Juneau","Juneau"
"Bullock","Bullock"
"Coosa","Coosa"
"Crenshaw","Crenshaw"
"Marengo","Marengo"
"La Paz","La Paz"
"Mohave","Mohave"
"Chicot","Chicot"
"Lonoke","Lonoke"
"Kit Carson","Kit Carson"
"Rio Grande","Rio Grande"
"Haralson","Haralson"
"McDuffie","McDuffie"
"Toombs","Toombs"
"Tazewell","Tazewell"
"Fountain","Fountain"
"Posey","Posey"
"Appanoose","Appanoose"
"Des Moines","Des Moines"
"Mahaska","Mahaska"
"Monona","Monona"
"Page","Page"
"East Feliciana","East Feliciana"
"Pointe Coupee","Pointe Coupee"
"Vermilion","Vermilion"
"Gogebic","Gogebic"
"Ionia","Ionia"
"Mecosta","Mecosta"
"Missaukee","Missaukee"
"Oceana","Oceana"
"Ogemaw","Ogemaw"
"Shiawassee","Shiawassee"
"Kandiyohi","Kandiyohi"
"Sibley","Sibley"
"Wilkin","Wilkin"
"Quitman","Quitman"
"Yalobusha","Yalobusha"
"Bollinger","Bollinger"
"Stoddard","Stoddard"
"Meagher","Meagher"
"Toole","Toole"
"Kearney","Kearney"
"McIntosh","McIntosh"
"Athens","Athens"
"Muskingum","Muskingum"
