"provided","standard"
"Thurston","Thurston"
"Valley","Valley"
"Buffalo","Buffalo"
"Colfax","Colfax"
"Sarpy","Sarpy"
"Saunders","Saunders"
"Seward","Seward"
"Lancaster","Lancaster"
"Dawson","Dawson"
"Gage","Gage"
"Custer","Custer"
"Hamilton","Hamilton"
"Hall","Hall"
"Lander","Lander"
"Mineral","Mineral"
"Nye","Nye"
"White Pine","White Pine"
"Churchill","Churchill"
"Elko","Elko"
"Carson City","Carson City"
"Humboldt","Humboldt"
"Washoe","Washoe"
"Belknap","Belknap"
"Coos","Coos"
"Grafton","Grafton"
"Cheshire","Cheshire"
"Merrimack","Merrimack"
"Strafford","Strafford"
"Rockingham","Rockingham"
"Hillsborough","Hillsborough"
"Salem","Salem"
"Cape May","Cape May"
"Hunterdon","Hunterdon"
"Atlantic","Atlantic"
"Gloucester","Gloucester"
"Sussex","Sussex"
"Burlington","Burlington"
"Mercer","Mercer"
"Monmouth","Monmouth"
"Morris","Morris"
"Ocean","Ocean"
"Passaic","Passaic"
"Hudson","Hudson"
"Bergen","Bergen"
"Curry","Curry"
"Guadalupe","Guadalupe"
"Harding","Harding"
"Lea","Lea"
"Los Alamos","Los Alamos"
"Otero","Otero"
"Rio Arriba","Rio Arriba"
"San Miguel","San Miguel"
"Sierra","Sierra"
"Taos","Taos"
"Catron","Catron"
"Eddy","Eddy"
"Luna","Luna"
"Quay","Quay"
"Santa Fe","Santa Fe"
"Torrance","Torrance"
"Valencia","Valencia"
"Chaves","Chaves"
"Doña Ana","Doña Ana"
"Socorro","Socorro"
"Cibola","Cibola"
"Sandoval","Sandoval"
"Bernalillo","Bernalillo"
"McKinley","McKinley"
"San Juan","San Juan"
"Cortland","Cortland"
"Delaware","Delaware"
"Oswego","Oswego"
"Schoharie","Schoharie"
"Schuyler","Schuyler"
"Seneca","Seneca"
"Cattaraugus","Cattaraugus"
"Cayuga","Cayuga"
"Herkimer","Herkimer"
"Chautauqua","Chautauqua"
"Chenango","Chenango"
"St. Lawrence","St. Lawrence"
"Tompkins","Tompkins"
"Saratoga","Saratoga"
"Wyoming","Wyoming"
"Yates","Yates"
"Chemung","Chemung"
"Fulton","Fulton"
"Ontario","Ontario"
"Tioga","Tioga"
"Steuben","Steuben"
"Columbia","Columbia"
"Oneida","Oneida"
"Schenectady","Schenectady"
"Broome","Broome"
"Rensselaer","Rensselaer"
"Ulster","Ulster"
"Niagara","Niagara"
"Putnam","Putnam"
"Onondaga","Onondaga"
"Dutchess","Dutchess"
"Albany","Albany"
"Orange","Orange"
"Erie","Erie"
"Rockland","Rockland"
"Westchester","Westchester"
"Nassau","Nassau"
"New York City","New York City"
"Alamance","Alamance"
"Alexander","Alexander"
"Alleghany","Alleghany"
"Anson","Anson"
"Ashe","Ashe"
"Beaufort","Beaufort"
"Bertie","Bertie"
"Bladen","Bladen"
"Brunswick","Brunswick"
"Buncombe","Buncombe"
"Burke","Burke"
"Cabarrus","Cabarrus"
"Carteret","Carteret"
"Caswell","Caswell"
"Catawba","Catawba"
"Chatham","Chatham"
"Cherokee","Cherokee"
"Chowan","Chowan"
"Cleveland","Cleveland"
"Columbus","Columbus"
"Craven","Craven"
"Currituck","Currituck"
"Dare","Dare"
"Davidson","Davidson"
"Davie","Davie"
"Duplin","Duplin"
"Durham","Durham"
"Edgecombe","Edgecombe"
"Forsyth","Forsyth"
"Gaston","Gaston"
"Gates","Gates"
"Granville","Granville"
"Guilford","Guilford"
"Halifax","Halifax"
"Harnett","Harnett"
"Haywood","Haywood"
"Henderson","Henderson"
"Hertford","Hertford"
"Hoke","Hoke"
"Iredell","Iredell"
"Johnston","Johnston"
"Lenoir","Lenoir"
"McDowell","McDowell"
"Mecklenburg","Mecklenburg"
"Mitchell","Mitchell"
"Moore","Moore"
"Nash","Nash"
"New Hanover","New Hanover"
"Northampton","Northampton"
"Onslow","Onslow"
"Pamlico","Pamlico"
"Pasquotank","Pasquotank"
"Pender","Pender"
"Perquimans","Perquimans"
"Person","Person"
"Pitt","Pitt"
"Richmond","Richmond"
"Robeson","Robeson"
"Rutherford","Rutherford"
"Sampson","Sampson"
"Stanly","Stanly"
"Stokes","Stokes"
"Surry","Surry"
"Transylvania","Transylvania"
"Tyrrell","Tyrrell"
"Vance","Vance"
"Wake","Wake"
"Watauga","Watauga"
"Wilkes","Wilkes"
"Wilson","Wilson"
"Yadkin","Yadkin"
"Barnes","Barnes"
"Bowman","Bowman"
"Burleigh","Burleigh"
"Divide","Divide"
"Dunn","Dunn"
"Emmons","Emmons"
"Foster","Foster"
"Grand Forks","Grand Forks"
"McHenry","McHenry"
"McIntosh","McIntosh"
"McKenzie","McKenzie"
"McLean","McLean"
"Morton","Morton"
"Mountrail","Mountrail"
"Oliver","Oliver"
"Rolette","Rolette"
"Sargent","Sargent"
"Sioux","Sioux"
"Slope","Slope"
"Stark","Stark"
"Stutsman","Stutsman"
"Walsh","Walsh"
"Ward","Ward"
"Williams","Williams"
"Ashland","Ashland"
"Ashtabula","Ashtabula"
"Athens","Athens"
"Auglaize","Auglaize"
"Belmont","Belmont"
"Champaign","Champaign"
"Clermont","Clermont"
"Columbiana","Columbiana"
"Coshocton","Coshocton"
"Cuyahoga","Cuyahoga"
"Darke","Darke"
"Defiance","Defiance"
"Fairfield","Fairfield"
"Fayette","Fayette"
"Gallia","Gallia"
"Geauga","Geauga"
"Guernsey","Guernsey"
"Hardin","Hardin"
"Highland","Highland"
"Hocking","Hocking"
"Licking","Licking"
"Logan","Logan"
"Lorain","Lorain"
